Validation_Set,Topics,Alpha,Beta,Coherence
15% dataset,6,0.9099999999999999,0.31,0.24380976538464486
15% dataset,6,0.9099999999999999,0.61,0.2474830066389151
15% dataset,6,0.9099999999999999,0.9099999999999999,0.37792876943625475
15% dataset,6,0.9099999999999999,symmetric,0.23256270304930246
15% dataset,6,symmetric,0.01,0.2480492030723547
15% dataset,6,symmetric,0.31,0.2536379322010099
15% dataset,6,symmetric,0.61,0.2544128757644125
15% dataset,6,symmetric,0.9099999999999999,0.2774810661804914
15% dataset,6,symmetric,symmetric,0.2606075069787271
15% dataset,6,asymmetric,0.01,0.24433952470070822
15% dataset,6,asymmetric,0.31,0.26277101164843253
15% dataset,6,asymmetric,0.61,0.24347152268988925
15% dataset,6,asymmetric,0.9099999999999999,0.33907607408044815
15% dataset,6,asymmetric,symmetric,0.2623964041872348
15% dataset,7,0.01,0.01,0.24635148894054976
15% dataset,7,0.01,0.31,0.2257058063162749
15% dataset,7,0.01,0.61,0.3194310372320045
15% dataset,7,0.01,0.9099999999999999,0.3015399299420354
15% dataset,7,0.01,symmetric,0.2571271368853997
15% dataset,7,0.31,0.01,0.24824022147478247
15% dataset,7,0.31,0.31,0.22535854387195445
15% dataset,7,0.31,0.61,0.2333933401783268
15% dataset,7,0.31,0.9099999999999999,0.29740880496742467
15% dataset,7,0.31,symmetric,0.24910665681343894
15% dataset,7,0.61,0.01,0.24735195040598218
15% dataset,7,0.61,0.31,0.2826313045473358
15% dataset,7,0.61,0.61,0.26217309319809207
15% dataset,7,0.61,0.9099999999999999,0.32468642745877047
15% dataset,7,0.61,symmetric,0.2715735044407758
15% dataset,7,0.9099999999999999,0.01,0.2568499969721792
15% dataset,7,0.9099999999999999,0.31,0.283482227137711
15% dataset,7,0.9099999999999999,0.61,0.2882038946800227
15% dataset,7,0.9099999999999999,0.9099999999999999,0.32565623403310334
15% dataset,7,0.9099999999999999,symmetric,0.2514616394826746
15% dataset,7,symmetric,0.01,0.25057786997111015
15% dataset,7,symmetric,0.31,0.282693999246067
15% dataset,7,symmetric,0.61,0.29470566134964216
15% dataset,7,symmetric,0.9099999999999999,0.26900028546891347
15% dataset,7,symmetric,symmetric,0.24838834020247424
15% dataset,7,asymmetric,0.01,0.24317934983347894
15% dataset,7,asymmetric,0.31,0.26600559283229946
15% dataset,7,asymmetric,0.61,0.29578897453723757
15% dataset,7,asymmetric,0.9099999999999999,0.3312171946813312
15% dataset,7,asymmetric,symmetric,0.250970174679684
15% dataset,8,0.01,0.01,0.24276932668766965
15% dataset,8,0.01,0.31,0.30291327498280174
15% dataset,8,0.01,0.61,0.32562241647402396
15% dataset,8,0.01,0.9099999999999999,0.2480970575770669
15% dataset,8,0.01,symmetric,0.25092907912140294
15% dataset,8,0.31,0.01,0.2501369694236634
15% dataset,8,0.31,0.31,0.29522377726517385
15% dataset,8,0.31,0.61,0.3201146914956039
15% dataset,8,0.31,0.9099999999999999,0.3679388238224885
15% dataset,8,0.31,symmetric,0.23867952549759314
15% dataset,8,0.61,0.01,0.2644817531250003
15% dataset,8,0.61,0.31,0.26035146305165674
15% dataset,8,0.61,0.61,0.3461044496217122
15% dataset,8,0.61,0.9099999999999999,0.3020355533492563
15% dataset,8,0.61,symmetric,0.2476436322141941
15% dataset,8,0.9099999999999999,0.01,0.24438261379640425
15% dataset,8,0.9099999999999999,0.31,0.32205367763089854
15% dataset,8,0.9099999999999999,0.61,0.30744420918109705
15% dataset,8,0.9099999999999999,0.9099999999999999,0.330306172600341
15% dataset,8,0.9099999999999999,symmetric,0.2580189910469347
15% dataset,8,symmetric,0.01,0.23912873939688567
15% dataset,8,symmetric,0.31,0.2809387955874148
15% dataset,8,symmetric,0.61,0.25435469413390516
15% dataset,8,symmetric,0.9099999999999999,0.2884734614827275
15% dataset,8,symmetric,symmetric,0.24067128648008285
15% dataset,8,asymmetric,0.01,0.24524155848267187
15% dataset,8,asymmetric,0.31,0.2687297341110461
15% dataset,8,asymmetric,0.61,0.2638724836676408
15% dataset,8,asymmetric,0.9099999999999999,0.3730134245755141
15% dataset,8,asymmetric,symmetric,0.253368698844922
15% dataset,9,0.01,0.01,0.24545990630555586
15% dataset,9,0.01,0.31,0.3127010384617554
15% dataset,9,0.01,0.61,0.3238956918595648
15% dataset,9,0.01,0.9099999999999999,0.2899356875935577
15% dataset,9,0.01,symmetric,0.2624217289000202
15% dataset,9,0.31,0.01,0.2463121808396323
15% dataset,9,0.31,0.31,0.27269531469464364
15% dataset,9,0.31,0.61,0.27913467732229846
15% dataset,9,0.31,0.9099999999999999,0.2381470190577013
15% dataset,9,0.31,symmetric,0.25423935336576753
15% dataset,9,0.61,0.01,0.2466449822529233
15% dataset,9,0.61,0.31,0.2832148384959711
15% dataset,9,0.61,0.61,0.30984601942855716
15% dataset,9,0.61,0.9099999999999999,0.3188908000625668
15% dataset,9,0.61,symmetric,0.2423775159709471
15% dataset,9,0.9099999999999999,0.01,0.24662955938572229
15% dataset,9,0.9099999999999999,0.31,0.2663966623955002
15% dataset,9,0.9099999999999999,0.61,0.2722983252860369
15% dataset,9,0.9099999999999999,0.9099999999999999,0.2847832250942014
15% dataset,9,0.9099999999999999,symmetric,0.248638585042708
15% dataset,9,symmetric,0.01,0.2475350749229338
15% dataset,9,symmetric,0.31,0.26397802589128094
15% dataset,9,symmetric,0.61,0.3092308796436418
15% dataset,9,symmetric,0.9099999999999999,0.2573972135919625
15% dataset,9,symmetric,symmetric,0.24324607986586658
