Fic number,Character name,Times mentioned
0,"ofishowcanyouevenstandthesethings?’‘Huh?’Shepointeddownatthesuit.Anddrewhisattentiontoityetagain.‘They’reuncomfortableandtheychafe.’‘Whydidyoubuyanythen?’‘Aaaa…feltliketryingitout.Butitsucks.’‘Gobacktotheusual,then.Youlookedgoodinyourusualclothes.’Shefoughtbackalittlesmile.‘",1
0,"tyoulikeit,then?’Hecouldn’thelpbutlethiseyeswanderdownwardsyetagain.‘Ido.Butifit’suncomfortable…’",1
0,",howquaintofyou,_sweetArchangel_,’shedrawled,sarcasmdrippingoffhereveryword.Hishandslappedthetableandhestaredatherwithwideeyes.‘Say…saythatagain.’‘Quaint?’‘No…theotherthing.’‘Oh,there’snoneedtoworkyourselfuplikethatallbecauseofsomemeaninglesswords.Youcouldgetworkedupaboutother…_thingzzz_,’sheleaneddownandcuppedhiskneeunderthetable.‘",1
0,"Icouldshowyou,ifyouwanted?’‘",1
0,",’henoddedfuriously.‘There’sabackalley,justbehindthepub.Shallwe?’Henoddedsomemore.***AttheendofthedayhefoundoutthatevenbeingArchangelfuckingGabrieldidn’tstandinthewayofgettingpinnedtoawall._Notsince",1
0,"wasdoingthepinning_.HehadalmostmeltedandlosttheuseofhislegsthemomentBeelzebubpushedhimforcefullyagainstthewallinthedirtybackalleyandthethoughtofhimsullyinghisdesignerclotheswasquicklysilencedasshestarteddoingsomeungodlythingstothesideofhisneck.Hewassureitwouldleavealotofbruisingandpossiblybitemarks.Shehadalsomanagedtoplaceakneejust….hmmm…just…soandwow,wassheworkingthatkneewonderfully.Hishandsweregrippingatthebrickworkandhesupposedhemanagedtocrumblemorethantenofthebricksunderneathhisfingers.ThatwasalsothesubjectofanotherTwittercrazebutnoneofthemcouldbebotheredwiththatatthemoment.‘Bee…please…’_Oh,yes.Finally!_Shesmiledagainstthesideofhisneckasshepulledback.Hewhinedandthrewheradesperatelook.‘",1
0,",Gabe,we’llhavenoneofthat.Afterall,Lustisoneofthesevendeadlyones.Andpatienceisavirtue,no?’‘Virtuesareallassholes,’hemanaged,panting.‘Everybodyknowsthat,eh?’‘Bee…’‘Enough.Iwillbegoingand-’sheswattedatoneofhishands,‘youwillbeleavingmealoneifyouknowwhat’sbestforyou.’Shelookedhimupanddown.Helookedpositivelywretched.‘",1
0,"tpout,Gabe.Tuesday,fiveo’clock?’Heclosedhiseyes,sighedandthennodded.‘Ormaybeevenbeforethatifwerunintoeachother.Iquitelikethepark.Thegeeseareparticularlydemonic,’shesmiledapredatorysmileathim.‘Ifyoucanspotme,whoknowswhatcanhappen.Itcouldbefun.Apropergameofcatandmouse,that.’Theybothknewwhothecatwouldbeinthisparticularscenario.***Hevisitedtheparkeachdaylookingforherdesperately.ItwasSaturday.Hestartedtorealisebynowthatitmightallbearusetomakesurehe’sproperlyinvestedinthiswholegamethingwhileshesatbackathersandwasprobablylaughingathim,doingGodknowswhatinthemeantime.",1
0,"knowswhat._Whatever_.WhatdidBeeevendoinhersparetime?_Beelzebub_.Hehadpromised,hadn’the?Hewasn’tverygoodatkeepingthatpromise,itturnedout.IwasneartheendofhisstrollthroughtheparkwhenhehadalreadygivenuponmeetingwithhertodayandthinkinghemightindulgeinspendingafortuneonadesignersuittosoothehiswoundedegowhenhesensedsomeHeavenlypresencesabout.Deepdownheprayedthatshewouldn’tshowupatthisparticularpointintimesincetherewereangelsabroad.Judgingby",1
0,"sLawsthisshouldbetheexactprecisemomentthatshewould,byallmeans,showup.Gabrieldidn’tknowabout",1
